,player,team,age,position,Mins,Passing Accuracy,90s
246,James Justin,Leicester,27,"D(CLR),M(LR)",2281,76.9,25.344444444444445
247,Jack Hinshelwood,Brighton,19,"D(LR),DMC",1259,85.6,13.988888888888889
248,Leif Davis,Ipswich,25,"D(L),M(L)",2464,80.6,27.377777777777776
249,Vitaly Janelt,Brentford,26,"D(L),DMC",2112,84.7,23.466666666666665
250,Harvey Barnes,Newcastle,27,AM(CL),899,81.9,9.988888888888889
251,Toby Collyer Man Utd,,21,Midfielder,175,82.2,1.9444444444444444
252,Jacob Greaves,Ipswich,24,D(CL),1666,87.6,18.511111111111113
253,André Onana Man Utd,,28,GK,2610,69.8,29.0
254,Welington,Southampton,24,"D(L),M(L)",174,79.5,1.9333333333333333
255,Robert Sánchez,Chelsea,27,GK,2070,69.4,23.0
256,Nicolás Domínguez,Nottingham Forest,26,M(CLR),1399,87.8,15.544444444444444
257,Rodri,Man City,28,"D(C),DMC",66,93.4,0.7333333333333333
258,Kobbie Mainoo Man Utd,,19,M(C),1291,87.1,14.344444444444445
259,Ben White,Arsenal,27,"D(CR),DMC",703,85.7,7.811111111111111
260,Rúben Dias,Man City,27,D(C),1459,93.8,16.211111111111112
261,Ross Barkley,Aston Villa,31,M(CLR),546,86.8,6.066666666666666
262,André,Wolves,23,DMC,1758,92.9,19.533333333333335
263,Tyler Dibling,Southampton,19,"AM(R),FW",1542,83.1,17.133333333333333
264,Lucas Paquetá,West Ham,27,"M(CLR),FW",1813,78.6,20.144444444444446
265,Álex Moreno,Nottingham Forest,31,"D(L),M(L)",820,76.8,9.11111111111111
266,Carlos Alcaraz,Southampton,22,"M(CL),FW",9,100.0,0.1
267,Fraser Forster,Tottenham,37,GK,630,82.6,7.0
268,João Félix,Chelsea,25,"AM(CL),FW",364,86.2,4.044444444444444
269,Lucas Bergvall,Tottenham,19,DMC,928,89.8,10.311111111111112
270,Paul Onuachu,Southampton,30,FW,759,62.4,8.433333333333334
271,Calvin Bassey,Fulham,25,D(CL),2444,89.9,27.155555555555555
272,Richarlison,Tottenham,27,"AM(CLR),FW",278,69.1,3.088888888888889
273,Rodrigo Muniz,Fulham,23,FW,806,66.7,8.955555555555556
274,Nathan Aké,Man City,30,"D(CL),DMC",683,94.4,7.588888888888889
275,Ibrahim Sangaré,Nottingham Forest,27,DMC,272,77.9,3.022222222222222
276,Rico Lewis,Man City,20,"D(LR),M(C)",1703,91.8,18.92222222222222
277,Omari Hutchinson,Ipswich,21,AM(CLR),2234,83.8,24.822222222222223
278,Myles Lewis-Skelly,Arsenal,18,D(L),770,94.4,8.555555555555555
279,Christian Eriksen Man Utd,,33,"M(CLR),FW",783,85.5,8.7
280,Kristoffer Ajer,Brentford,26,"D(CLR),DMC",1214,78.4,13.488888888888889
281,Diego Gómez,Brighton,21,AM(CL),253,82.6,2.811111111111111
282,Jean-Ricner Bellegarde,Wolves,26,M(CLR),1292,84.4,14.355555555555556
283,Benoît Badiashile,Chelsea,23,D(C),334,90.1,3.7111111111111112
284,Harry Amass Man Utd,,18,Defender,21,90.9,0.23333333333333334
285,Abdoulaye Doucouré,Everton,32,M(C),1991,82.7,22.122222222222224
286,Tariq Lamptey,Brighton,24,"D(LR),M(R)",766,88.6,8.511111111111111
287,Alejandro Garnacho Man Utd,,20,AM(CLR),1640,83.1,18.22222222222222
288,Jakub Stolarczyk,Leicester,24,GK,540,64.7,6.0
289,Bart Verbruggen,Brighton,22,GK,2430,74.9,27.0
290,James Hill,Bournemouth,23,D(CR),425,72.9,4.722222222222222
291,Jack Grealish,Man City,29,"M(CL),FW",606,91.0,6.733333333333333
292,Lewis Dunk,Brighton,33,D(C),1561,91.5,17.344444444444445
293,Bilal El Khannouss,Leicester,20,AM(C),1534,79.4,17.044444444444444
294,Jesper Lindstrøm,Everton,25,"AM(CLR),FW",1242,78.7,13.8
295,Alex Scott,Bournemouth,21,M(CR),373,85.8,4.144444444444445
296,Luis Sinisterra,Bournemouth,25,"AM(LR),FW",230,83.5,2.5555555555555554
297,John McGinn,Aston Villa,30,M(CLR),1786,87.5,19.844444444444445
298,Takehiro Tomiyasu,Arsenal,26,D(CLR),6,75.0,0.06666666666666667
299,Ryan Sessegnon,Fulham,24,"D(L),M(LR)",93,82.8,1.0333333333333334
300,Jean-Clair Todibo,West Ham,25,D(C),1148,88.0,12.755555555555556
